Instancia,Seed,Solucao Inicial,Melhor Solucao,Valor Medio Formulacao,Tempo Total (s),Limite Tempo (s),Tempo Medio Formulacao (s),limite_superior
01.txt,3,1026198,1027903,1034994,3.86,5,0.22,
01.txt,4,1026198,1027188,1034994,3.85,5,0.22,
01.txt,5,1026198,1027808,1034994,3.79,5,0.24,
01.txt,6,1026198,1027678,1034994,3.83,5,0.22,
01.txt,7,1026198,1027708,1034994,3.8,5,0.22,
01.txt,3,1026198,1027903,1034994,3.86,300,0.22,
01.txt,4,1026198,1027188,1034994,3.88,300,0.23,
01.txt,5,1026198,1027808,1034994,3.81,300,0.22,
01.txt,6,1026198,1027678,1034994,3.83,300,0.23,
01.txt,7,1026198,1027708,1034994,3.78,300,0.23,
02.txt,3,11862977,11864577,11984785,3.9,5,2.86,
02.txt,4,11862977,11864497,11984785,3.89,5,3.76,
02.txt,5,11862977,11864482,11984785,3.87,5,2.96,
02.txt,6,11862977,11864142,-inf,4.09,5,TIME_LIMIT,11984831
02.txt,7,11862977,11864497,11984785,3.87,5,4.49,
02.txt,3,11862977,11864577,11984785,3.92,300,2.81,
02.txt,4,11862977,11864497,11984785,3.91,300,3.77,
02.txt,5,11862977,11864482,11984785,3.85,300,3,
02.txt,6,11862977,11864142,11984785,3.96,300,9.74,
02.txt,7,11862977,11864497,11984785,3.94,300,4.57,
03.txt,3,45184792,45186687,-inf,5.01,5,TIME_LIMIT,inf
03.txt,4,45184792,45186617,-inf,5,5,TIME_LIMIT,inf
03.txt,5,45184792,45186687,-inf,5,5,TIME_LIMIT,inf
03.txt,6,45184792,45186687,-inf,5,5,TIME_LIMIT,inf
03.txt,7,45184792,45186687,-inf,5,5,TIME_LIMIT,inf
03.txt,3,45184792,45186687,45979460,7.57,300,55.47,
03.txt,4,45184792,45186617,45979231,7.59,300,55.27,
03.txt,5,45184792,45186687,45979231,7.55,300,56.6,
03.txt,6,45184792,45186687,45979231,7.61,300,55.22,
03.txt,7,45184792,45186687,45978832,7.59,300,60.37,
04.txt,3,34032872,34039507,-inf,5.01,5,TIME_LIMIT,inf
04.txt,4,34032872,34039407,-inf,5.01,5,TIME_LIMIT,inf
04.txt,5,34032872,34039607,-inf,5,5,TIME_LIMIT,inf
04.txt,6,34032872,34039552,-inf,5,5,TIME_LIMIT,inf
04.txt,7,34032872,34039627,-inf,5.01,5,TIME_LIMIT,inf
04.txt,3,34032872,34039507,34177954,7.84,300,9.94,
04.txt,4,34032872,34039407,34177749,7.76,300,10.41,
04.txt,5,34032872,34039607,34177799,7.8,300,9.82,
04.txt,6,34032872,34039552,34177783,7.85,300,10.34,
04.txt,7,34032872,34039627,34178023,7.92,300,15.91,
05.txt,3,8159825,8162240,8201961,5.02,5,4.13,
05.txt,4,8159825,8162080,8201965,5.02,5,4.12,
05.txt,5,8159825,8161995,8201915,5,5,4.1,
05.txt,6,8159825,8162420,8201975,5.02,5,4.17,
05.txt,7,8159825,8161995,-inf,5.01,5,TIME_LIMIT,8202061
05.txt,3,8159825,8162810,8201961,30.76,300,4.19,
05.txt,4,8159825,8162640,8201965,29.95,300,4.13,
05.txt,5,8159825,8162705,8201915,29.19,300,4.17,
05.txt,6,8159825,8162895,8201975,29.42,300,4.17,
05.txt,7,8159825,8162700,8201884,29.11,300,5.22,
06.txt,3,29512626,29513436,-inf,5.01,5,TIME_LIMIT,inf
06.txt,4,29512626,29513626,-inf,5.01,5,TIME_LIMIT,inf
06.txt,5,29512626,29514101,-inf,5.01,5,TIME_LIMIT,inf
06.txt,6,29512626,29513386,-inf,5.01,5,TIME_LIMIT,inf
06.txt,7,29512626,29514031,-inf,5.02,5,TIME_LIMIT,inf
06.txt,3,29512626,29514421,29752155,30.39,300,21.06,
06.txt,4,29512626,29514541,29752185,30.71,300,18.19,
06.txt,5,29512626,29514561,29751628,30.29,300,17.54,
06.txt,6,29512626,29514566,29752340,30.57,300,17.4,
06.txt,7,29512626,29514571,29752356,30.68,300,17.78,
07.txt,3,204738248,204869998,-inf,3.88,5,TIME_LIMIT,inf
07.txt,4,204738248,204867243,-inf,3.9,5,TIME_LIMIT,inf
07.txt,5,204738248,204867243,-inf,3.94,5,TIME_LIMIT,inf
07.txt,6,204738248,204867243,-inf,4,5,TIME_LIMIT,inf
07.txt,7,204738248,204867243,-inf,3.95,5,TIME_LIMIT,inf
07.txt,3,204738248,204869998,206913418,3.9,300,77.62,
07.txt,4,204738248,204867243,206913418,3.94,300,73.77,
07.txt,5,204738248,204867243,206913418,3.95,300,75.54,
07.txt,6,204738248,204867243,206913418,3.99,300,75.05,
07.txt,7,204738248,204867243,206913407,3.94,300,80.99,
08.txt,3,41947229,42213319,,3.89,5,TIME_LIMIT,inf
08.txt,4,41947229,42214009,-inf,3.9,5,TIME_LIMIT,inf
08.txt,5,41947229,42222854,-inf,3.85,5,TIME_LIMIT,inf
08.txt,6,41947229,42213434,-inf,3.91,5,TIME_LIMIT,inf
08.txt,7,41947229,42214009,-inf,3.91,5,TIME_LIMIT,inf
08.txt,3,41947229,42213319,-inf,3.91,300,21.97,
08.txt,4,41947229,42214009,42668196,3.88,300,20.74,
08.txt,5,41947229,42222854,42668196,3.86,300,20.57,
08.txt,6,41947229,42213434,42668196,3.97,300,21.47,
08.txt,7,41947229,42214009,42668196,4.02,300,21.41,
09.txt,3,8297000,8298310,-inf,5.01,5,TIME_LIMIT,18972982
09.txt,4,8297000,8298635,-inf,5,5,TIME_LIMIT,18972982
09.txt,5,8297000,8298420,-inf,5,5,TIME_LIMIT,18972982
09.txt,6,8297000,8298500,-inf,5,5,TIME_LIMIT,18972982
09.txt,7,8297000,8298580,-inf,5,5,TIME_LIMIT,18972982
09.txt,3,8297000,8298340,8461902,15.14,300,5.46,
09.txt,4,8297000,8298700,8461952,14.95,300,7.56,
09.txt,5,8297000,8298470,8461952,14.78,300,9.25,
09.txt,6,8297000,8298515,8461951,15.18,300,9.91,
09.txt,7,8297000,8298610,8461953,15.07,300,7.36,
10.txt,3,47872453,47877208,-inf,5.01,5,TIME_LIMIT,inf
10.txt,4,47872453,47877223,-inf,5,5,TIME_LIMIT,inf
10.txt,5,47872453,47877208,-inf,5,5,TIME_LIMIT,inf
10.txt,6,47872453,47877228,-inf,5.01,5,TIME_LIMIT,inf
10.txt,7,47872453,47877158,-inf,5.01,5,TIME_LIMIT,inf
10.txt,3,47872453,47877218,48352162,14.83,300,24.17,
10.txt,4,47872453,47877223,48351940,14.96,300,24.25,
10.txt,5,47872453,47877218,48352104,15.02,300,24.59,
10.txt,6,47872453,47877238,48351929,15.28,300,23.61,
10.txt,7,47872453,47877158,48351957,15.27,300,27.19,
